ID,Full Name,name_strict,strict_key,is_strict_dup,strict_group_size
90,María Ruiz Muñoz,maria ruiz munoz,maria ruiz munoz,False,1
91,Marta Fernández,marta fernandez,marta fernandez,False,4
92,Sofía Díaz Rodríguez,sofia diaz rodriguez,sofia diaz rodriguez,False,3
93,Dr. Javier López,javier lopez,javier lopez,False,6
94,Carlos Álvarez Fernández,carlos alvarez fernandez,carlos alvarez fernandez,False,2
95,Javier Fernández,javier fernandez,javier fernandez,False,9
96,María Romero,maria romero,maria romero,False,3
97,Isabel Romero López,isabel romero lopez,isabel romero lopez,False,1
98,Juan Díaz,juan diaz,juan diaz,False,6
99,Francisco Jiménez,francisco jimenez,francisco jimenez,False,6
100,Col. Isabel Hernández Ruiz,col isabel hernandez ruiz,col isabel hernandez ruiz,False,1
101,Marta Pérez Alonso,marta perez alonso,marta perez alonso,False,1
102,Pablo Romero Ruiz,pablo romero ruiz,pablo romero ruiz,False,2
103,Juan Ruiz,juan ruiz,juan ruiz,False,5
104,José   Hernández Romero,jose hernandez romero,jose hernandez romero,False,1
105,Lucía Martín Gutiérrez,lucia martin gutierrez,lucia martin gutierrez,False,1
106,Juan Ruiz,juan ruiz,juan ruiz,True,5
107,Pedro García Jiménez,pedro garcia jimenez,pedro garcia jimenez,False,1
108,Rafael Sánchez Gómez,rafael sanchez gomez,rafael sanchez gomez,False,2
109,Ana Rodríguez Sánchez,ana rodriguez sanchez,ana rodriguez sanchez,False,1
110,Sr. Fernando Gómez,fernando gomez,fernando gomez,False,3
111,Dr. Ana Gutiérrez Moreno,ana gutierrez moreno,ana gutierrez moreno,False,1
112,Ana Álvarez Díaz,ana alvarez diaz,ana alvarez diaz,False,1
113,Pedro Fernández González,pedro fernandez gonzalez,pedro fernandez gonzalez,False,1
114,Javier Sánchez Fernández,javier sanchez fernandez,javier sanchez fernandez,False,1
115,Carmen Martín González,carmen martin gonzalez,carmen martin gonzalez,False,1
116,Javier Muñoz,javier munoz,javier munoz,False,10
117,Dr. Pedro López,pedro lopez,pedro lopez,False,7
118,Javier Alonso,javier alonso,javier alonso,False,2
119,Marta Ruiz Martínez,marta ruiz martinez,marta ruiz martinez,False,1
120,Luis Sánchez Pérez,luis sanchez perez,luis sanchez perez,False,1
121,Francisco Romero Moreno,francisco romero moreno,francisco romero moreno,False,1
122,Pedro Díaz Moreno,pedro diaz moreno,pedro diaz moreno,False,1
123,Javier Álvarez García,javier alvarez garcia,javier alvarez garcia,False,2
124,P$ablo Fernández,p ablo fernandez,p ablo fernandez,False,1
125,Carmen Alonso Álvarez,carmen alonso alvarez,carmen alonso alvarez,False,1
126,Lucía Romero Díaz,lucia romero diaz,lucia romero diaz,False,1
127,Sofía López,sofia lopez,sofia lopez,False,5
128,Teresa Álvarez,teresa alvarez,teresa alvarez,False,6
129,Pedro Romero Hernández,pedro romero hernandez,pedro romero hernandez,False,2
130,Rafael Martínez Sánchez,rafael martinez sanchez,rafael martinez sanchez,False,1
131,Elena Hernández Gutiérrez,elena hernandez gutierrez,elena hernandez gutierrez,False,1
132,Dr. Ana Gómez Hernández,ana gomez hernandez,ana gomez hernandez,False,1
133,Francisco Alonso Gómez,francisco alonso gomez,francisco alonso gomez,False,1
134,Francisco González,francisco gonzalez,francisco gonzalez,False,6
135,Pilar Rodríguez,pilar rodriguez,pilar rodriguez,False,4
136,Pilar González,pilar gonzalez,pilar gonzalez,False,7
137,Sofía Fernández García,sofia fernandez garcia,sofia fernandez garcia,False,1
138,Pablo López Jiménez,pablo lopez jimenez,pablo lopez jimenez,False,1
139,Lucía Alonso,lucia alonso,lucia alonso,False,6
140,Juan Sánchez,juan sanchez,juan sanchez,False,4
141,Pablo Muñoz Hernández,pablo munoz hernandez,pablo munoz hernandez,False,1
142,José González,jose gonzalez,jose gonzalez,False,6
143,Dr. Isabel García Sánchez,isabel garcia sanchez,isabel garcia sanchez,False,2
144,Pilar González González,pilar gonzalez gonzalez,pilar gonzalez gonzalez,False,1
145,José Pérez,jose perez,jose perez,False,8
146,Pedro Rodríguez,pedro rodriguez,pedro rodriguez,False,7
147,Teresa García Hernández,teresa garcia hernandez,teresa garcia hernandez,False,1
148,Javier García García,javier garcia garcia,javier garcia garcia,False,1
149,Fernando González Martín,fernando gonzalez martin,fernando gonzalez martin,False,1
150,José García,jose garcia,jose garcia,False,5
151,Col. Sofía Álvarez,col sofia alvarez,col sofia alvarez,False,2
152,Elena Martín Alonso,elena martin alonso,elena martin alonso,False,2
153,Marta Gómez Rodríguez,marta gomez rodriguez,marta gomez rodriguez,False,1
154,Sr. Francisco Díaz Moreno,francisco diaz moreno,francisco diaz moreno,False,1
155,Col. Carlos Sánchez,col carlos sanchez,col carlos sanchez,False,1
156,Pedro Gómez Rodríguez,pedro gomez rodriguez,pedro gomez rodriguez,False,2
157,Lucía Sánchez,lucia sanchez,lucia sanchez,False,6
158,Lucía Martín García,lucia martin garcia,lucia martin garcia,False,1
159,Mg. José Alonso Muñoz,mg jose alonso munoz,mg jose alonso munoz,False,1
160,Francisco Rodríguez,francisco rodriguez,francisco rodriguez,False,9
161,Pedro Hernández,pedro hernandez,pedro hernandez,False,9
162,Isabel Sánchez Jiménez,isabel sanchez jimenez,isabel sanchez jimenez,False,1
163,Francisco Álvarez Rodríguez,francisco alvarez rodriguez,francisco alvarez rodriguez,False,1
164,José Ruiz Jiménez,jose ruiz jimenez,jose ruiz jimenez,False,1
165,Pilar Fernández Martín,pilar fernandez martin,pilar fernandez martin,False,4
166,Carlos González Ruiz,carlos gonzalez ruiz,carlos gonzalez ruiz,False,1
167,Sra. Carmen García Álvarez,carmen garcia alvarez,carmen garcia alvarez,False,2
168,Pilar Gómez Muñoz,pilar gomez munoz,pilar gomez munoz,False,1
169,Elena Martínez Sánchez,elena martinez sanchez,elena martinez sanchez,False,1
170,Marta Díaz Pérez,marta diaz perez,marta diaz perez,False,1
171,José Fernández Romero,jose fernandez romero,jose fernandez romero,False,1
172,Sr. Marta Martínez Fernández,marta martinez fernandez,marta martinez fernandez,False,1
173,Pablo Gómez Martínez,pablo gomez martinez,pablo gomez martinez,False,2
174,María Jiménez,maria jimenez,maria jimenez,True,11
175,María Ruiz Sánchez,maria ruiz sanchez,maria ruiz sanchez,False,1
176,Francisco& Martínez González,francisco martinez gonzalez,francisco martinez gonzalez,False,1
177,Sofía Sánc%hez,sofia sanc hez,sofia sanc hez,False,1
178,Rafael Martín,rafael martin,rafael martin,False,7
179,Luis Moreno García,luis moreno garcia,luis moreno garcia,False,1
180,Ana Pérez,ana perez,ana perez,False,6
181,Carmen Pérez Fernández,carmen perez fernandez,carmen perez fernandez,False,1
182,Francisco Ruiz Fernández,francisco ruiz fernandez,francisco ruiz fernandez,False,1
183,Rafael González,rafael gonzalez,rafael gonzalez,False,4
184,Javier Martín Díaz,javier martin diaz,javier martin diaz,False,1
185,Marta Martínez,marta martinez,marta martinez,False,7
186,José Pérez,jose perez,jose perez,True,8
187,Teresa Rodríguez Sánchez,teresa rodriguez sanchez,teresa rodriguez sanchez,False,1
188,Sofía González González,sofia gonzalez gonzalez,sofia gonzalez gonzalez,False,1
189,Ana Gómez Ruiz,ana gomez ruiz,ana gomez ruiz,False,2
190,Pedro Gutiérrez,pedro gutierrez,pedro gutierrez,False,11
191,Pedro Moreno González,pedro moreno gonzalez,pedro moreno gonzalez,False,3
192,Sr. Juan Sánchez,juan sanchez,juan sanchez,True,4
193,Isabel Gutiérrez Pérez,isabel gutierrez perez,isabel gutierrez perez,False,3
194,José López Pérez,jose lopez perez,jose lopez perez,False,1
195,Elena Ruiz,elena ruiz,elena ruiz,False,6
196,Pedro Romero Álvarez,pedro romero alvarez,pedro romero alvarez,False,1
197,Rafael Gómez,rafael gomez,rafael gomez,False,6
198,Lucía Díaz Alonso,lucia diaz alonso,lucia diaz alonso,False,1
199,Pilar Fernández Rodríguez,pilar fernandez rodriguez,pilar fernandez rodriguez,False,1
200,Pilar Jiménez Moreno,pilar jimenez moreno,pilar jimenez moreno,False,2
201,Sofía González Jiménez,sofia gonzalez jimenez,sofia gonzalez jimenez,False,2
202,Juan Jiménez Gutiérrez,juan jimenez gutierrez,juan jimenez gutierrez,False,2
203,Juan García,juan garcia,juan garcia,False,5
204,José Fernández,jose fernandez,jose fernandez,False,9
205,Javier Alonso Rodríguez,javier alonso rodriguez,javier alonso rodriguez,False,3
206,Pablo Martínez González,pablo martinez gonzalez,pablo martinez gonzalez,False,1
207,María Rodríguez González,maria rodriguez gonzalez,maria rodriguez gonzalez,False,2
208,Teresa Gutiérrez,teresa gutierrez,teresa gutierrez,False,8
209,Pablo García García,pablo garcia garcia,pablo garcia garcia,False,3
210,Pablo   Hernández Muñoz,pablo hernandez munoz,pablo hernandez munoz,False,1
211,María Sánchez López,maria sanchez lopez,maria sanchez lopez,False,1
212,Pilar Jiménez Romero,pilar jimenez romero,pilar jimenez romero,False,1
213,Rafael Ruiz,rafael ruiz,rafael ruiz,False,8
214,Francisco Álvarez Muñoz,francisco alvarez munoz,francisco alvarez munoz,False,2
215,Carlos Alonso Moreno,carlos alonso moreno,carlos alonso moreno,False,1
216,Teresa Martínez Hernández,teresa martinez hernandez,teresa martinez hernandez,False,1
217,Lucía Gómez,lucia gomez,lucia gomez,False,5
218,Pilar Moreno,pilar moreno,pilar moreno,False,8
219,Isabel Hernández Álvarez,isabel hernandez alvarez,isabel hernandez alvarez,False,2
220,Rafael Álvarez Alonso,rafael alvarez alonso,rafael alvarez alonso,False,1
221,Isabel Alonso,isabel alonso,isabel alonso,False,3
222,Rafael García,rafael garcia,rafael garcia,True,4
223,Carlos Fernández,carlos fernandez,carlos fernandez,False,6
224,Ana López López,ana lopez lopez,ana lopez lopez,False,1
225,Pilar Muñoz,pilar munoz,pilar munoz,False,6
226,Rafael Díaz,rafael diaz,rafael diaz,False,6
227,Teresa Alonso Gutiérrez,teresa alonso gutierrez,teresa alonso gutierrez,False,1
228,Sofía  Alonso,sofia alonso,sofia alonso,False,11
229,Lic. Rafael Rodríguez,rafael rodriguez,rafael rodriguez,False,10
230,Rafael Díaz Muñoz,rafael diaz munoz,rafael diaz munoz,False,3
231,Pedro Martínez,pedro martinez,pedro martinez,False,7
232,Pedro Jiménez,pedro jimenez,pedro jimenez,False,4
233,Sra. Sofía Fernández,sofia fernandez,sofia fernandez,False,6
234,Pablo Ruiz Jiménez,pablo ruiz jimenez,pablo ruiz jimenez,False,1
235,Carlos Hernández Hernández,carlos hernandez hernandez,carlos hernandez hernandez,False,1
236,Francisco Gutiérrez,francisco gutierrez,francisco gutierrez,False,10
237,Isabel López,isabel lopez,isabel lopez,False,9
238,Francisco Fernández,francisco fernandez,francisco fernandez,False,8
239,Rafael Martínez,rafael martinez,rafael martinez,False,4
240,Juan Alonso,juan alonso,juan alonso,False,10
241,Pedro Álvarez,pedro alvarez,pedro alvarez,False,6
242,Pedro Romero García,pedro romero garcia,pedro romero garcia,False,1
243,Mg. Rafael Álvarez,mg rafael alvarez,mg rafael alvarez,False,1
244,Lucía Martínez,lucia martinez,lucia martinez,False,7
245,Francisco Hernández Hernández,francisco hernandez hernandez,francisco hernandez hernandez,False,1
246,Lucía Martín,lucia martin,lucia martin,False,8
247,Javier  Jiménez Sánchez,javier jimenez sanchez,javier jimenez sanchez,False,1
248,Carlos Rodríguez,carlos rodriguez,carlos rodriguez,False,5
249,Col. Teresa García Martínez,col teresa garcia martinez,col teresa garcia martinez,False,1
250,Isabel Rodríguez,isabel rodriguez,isabel rodriguez,False,8
251,Sofía Gutiérrez López,sofia gutierrez lopez,sofia gutierrez lopez,False,1
252,José Álvarez Moreno,jose alvarez moreno,jose alvarez moreno,False,1
253,Luis Gómez Muñoz,luis gomez munoz,luis gomez munoz,False,2
254,María Martínez,maria martinez,maria martinez,True,11
255,Carlos Muñoz,carlos munoz,carlos munoz,True,6
256,Fernando Gómez,fernando gomez,fernando gomez,True,3
257,Pedro Hernández Martín,pedro hernandez martin,pedro hernandez martin,False,1
258,Marta Hernández,marta hernandez,marta hernandez,False,9
259,Rafael Hernández,rafael hernandez,rafael hernandez,False,5
260,Pedro Díaz,pedro diaz,pedro diaz,False,4
261,Ana Gutiérrez,ana gutierrez,ana gutierrez,False,2
262,Francisco González Martínez,francisco gonzalez martinez,francisco gonzalez martinez,False,2
263,Mg. María Pérez Sánchez,mg maria perez sanchez,mg maria perez sanchez,False,1
264,Pedro Pérez Jiménez,pedro perez jimenez,pedro perez jimenez,False,1
265,Marta González Pérez,marta gonzalez perez,marta gonzalez perez,False,2
266,José Gutiérrez Muñoz,jose gutierrez munoz,jose gutierrez munoz,False,1
267,Sofía Gómez Martínez,sofia gomez martinez,sofia gomez martinez,False,1
268,Fernando Sánchez Gutiérrez,fernando sanchez gutierrez,fernando sanchez gutierrez,False,2
269,Luis Alonso Romero,luis alonso romero,luis alonso romero,False,1
270,Luis  Gómez Pérez,luis gomez perez,luis gomez perez,False,3
271,Lic. Pilar Álvarez,pilar alvarez,pilar alvarez,False,6
272,Carlos García Álvarez,carlos garcia alvarez,carlos garcia alvarez,False,1
273,Lucía Fernández,lucia fernandez,lucia fernandez,False,8
274,Carmen Rodríguez Romero,carmen rodriguez romero,carmen rodriguez romero,False,1
275,Sr. Juan Gutiérrez,juan gutierrez,juan gutierrez,False,5
276,Isabel Martínez,isabel martinez,isabel martinez,False,6
277,Fernando Gómez Martínez,fernando gomez martinez,fernando gomez martinez,False,1
278,Sofía Hernández,sofia hernandez,sofia hernandez,False,8
279,Francisco Gutiérrez,francisco gutierrez,francisco gutierrez,True,10
280,Carmen Ruiz,carmen ruiz,carmen ruiz,False,3
281,Sofía Martín,sofia martin,sofia martin,False,12
282,Rafael Gutiérrez,rafael gutierrez,rafael gutierrez,False,7
283,Ana Rodríguez,ana rodriguez,ana rodriguez,False,6
284,Rafael Fernández Moreno,rafael fernandez moreno,rafael fernandez moreno,False,1
285,Marta Fernández López,marta fernandez lopez,marta fernandez lopez,False,1
286,Carmen Gómez,carmen gomez,carmen gomez,False,6
287,Juan Hernández,juan hernandez,juan hernandez,False,8
288,Francisco Ruiz,francisco ruiz,francisco ruiz,False,5
289,Lucía Pérez Alonso,lucia perez alonso,lucia perez alonso,False,1
290,Marta Pérez,marta perez,marta perez,True,5
291,Francisco Muñoz Ruiz,francisco munoz ruiz,francisco munoz ruiz,False,1
292,Marta Álvarez Pérez,marta alvarez perez,marta alvarez perez,False,1
293,José Rodríguez Muñoz,jose rodriguez munoz,jose rodriguez munoz,False,1
294,Elena Díaz,elena diaz,elena diaz,False,7
295,Juan Muñoz,juan munoz,juan munoz,True,8
296,María Jiménez Álvarez,maria jimenez alvarez,maria jimenez alvarez,False,1
297,Elena Pérez Alonso,elena perez alonso,elena perez alonso,False,2
298,Carlos Alonso,carlos alonso,carlos alonso,False,7
299,Lucía Álvarez,lucia alvarez,lucia alvarez,False,5
300,Col. María Alonso,col maria alonso,col maria alonso,False,1
301,Mg. Javier Rodríguez,mg javier rodriguez,mg javier rodriguez,False,1
302,Francisco Pérez,francisco perez,francisco perez,False,8
303,Luis Romero López,luis romero lopez,luis romero lopez,False,1
304,Javier Gómez,javier gomez,javier gomez,False,5
305,Pilar Jiménez Moreno,pilar jimenez moreno,pilar jimenez moreno,True,2
306,Luis Díaz,luis diaz,luis diaz,True,7
307,Ana Alonso,ana alonso,ana alonso,False,6
308,Lucía Álvarez Martínez,lucia alvarez martinez,lucia alvarez martinez,False,1
309,Pilar Alonso Jiménez,pilar alonso jimenez,pilar alonso jimenez,False,1
310,María Alonso,maria alonso,maria alonso,False,5
311,Francisco Martín,francisco martin,francisco martin,False,5
312,Pilar Pérez Martínez,pilar perez martinez,pilar perez martinez,False,2
313,Pedro Hernández,pedro hernandez,pedro hernandez,True,9
314,Pedro Rodríguez Muñoz,pedro rodriguez munoz,pedro rodriguez munoz,False,2
315,Mg. Sofía Hernández Álvarez,mg sofia hernandez alvarez,mg sofia hernandez alvarez,False,1
316,Pedro Martínez Álvarez,pedro martinez alvarez,pedro martinez alvarez,False,1
317,Carmen Martínez,carmen martinez,carmen martinez,False,7
318,Rafael Álvarez Martínez,rafael alvarez martinez,rafael alvarez martinez,False,1
319,Sofía Rodríguez Fernández,sofia rodriguez fernandez,sofia rodriguez fernandez,False,2
320,Teresa Martín,teresa martin,teresa martin,False,5
321,Lucía Martín González,lucia martin gonzalez,lucia martin gonzalez,False,1
322,Marta Gutiérrez,marta gutierrez,marta gutierrez,False,5
323,Dr. Carmen Martínez,carmen martinez,carmen martinez,True,7
324,Carlos Martínez,carlos martinez,carlos martinez,False,6
325,Isabel Díaz,isabel diaz,isabel diaz,False,4
326,Ana   Díaz,ana diaz,ana diaz,False,6
327,Luis Moreno,luis moreno,luis moreno,False,7
328,Teresa Martín,teresa martin,teresa martin,True,5
329,Isabel   Álvarez Rodríguez,isabel alvarez rodriguez,isabel alvarez rodriguez,False,1
330,Luis Pérez Romero,luis perez romero,luis perez romero,False,1
331,Fernando Moreno,fernando moreno,fernando moreno,False,7
332,Pablo Góme&z,pablo gome z,pablo gome z,False,1
333,Juan Hernández,juan hernandez,juan hernandez,True,8
334,Javier Jiménez González,javier jimenez gonzalez,javier jimenez gonzalez,False,1
335,Marta García Gutiérrez,marta garcia gutierrez,marta garcia gutierrez,False,1
336,Isabel Ruiz López,isabel ruiz lopez,isabel ruiz lopez,False,3
337,Fernando Sánchez,fernando sanchez,fernando sanchez,False,5
338,Isabel González,isabel gonzalez,isabel gonzalez,False,4
339,Luis Romero Fernández,luis romero fernandez,luis romero fernandez,False,1
340,Elena Gutiérrez,elena gutierrez,elena gutierrez,False,9
341,María Jiménez,maria jimenez,maria jimenez,True,11
342,Isabel Ruiz Pérez,isabel ruiz perez,isabel ruiz perez,False,1
343,Juan Romero Pérez,juan romero perez,juan romero perez,False,1
344,Marta Álvarez Gutiérrez,marta alvarez gutierrez,marta alvarez gutierrez,False,1
345,Sr. María López,maria lopez,maria lopez,False,4
346,Mg. Teresa Martín Muñoz,mg teresa martin munoz,mg teresa martin munoz,False,1
347,Pedro García,pedro garcia,pedro garcia,False,7
348,Mg. Carmen García González,mg carmen garcia gonzalez,mg carmen garcia gonzalez,False,1
349,Carmen Jiménez,carmen jimenez,carmen jimenez,False,7
350,Rafael Sánchez Gómez,rafael sanchez gomez,rafael sanchez gomez,True,2
351,Pablo Sánchez,pablo sanchez,pablo sanchez,False,6
352,Pablo Alonso,pablo alonso,pablo alonso,False,9
353,Ana Muñoz Sánchez,ana munoz sanchez,ana munoz sanchez,False,1
354,María González,maria gonzalez,maria gonzalez,False,1
355,Carmen Moreno Martín,carmen moreno martin,carmen moreno martin,False,2
356,Sr. Marta González,marta gonzalez,marta gonzalez,False,9
357,José Ruiz,jose ruiz,jose ruiz,False,8
358,Javier Ruiz Rome~ro,javier ruiz rome ro,javier ruiz rome ro,False,1
359,Carlos Hernández López,carlos hernandez lopez,carlos hernandez lopez,False,1
360,Carlos García Fernández,carlos garcia fernandez,carlos garcia fernandez,False,3
361,Elena Rodríguez,elena rodriguez,elena rodriguez,False,9
362,Fernando Gutiérrez,fernando gutierrez,fernando gutierrez,False,11
363,Francisco Rodríguez Ruiz,francisco rodriguez ruiz,francisco rodriguez ruiz,False,1
364,Marta Alonso González,marta alonso gonzalez,marta alonso gonzalez,False,3
365,Isabel Álvarez,isabel alvarez,isabel alvarez,False,10
366,Francisco Sánchez,francisco sanchez,francisco sanchez,False,6
367,Pablo Gutiérrez Sánchez,pablo gutierrez sanchez,pablo gutierrez sanchez,False,1
368,Luis Moreno,luis moreno,luis moreno,True,7
369,Carmen Gutiérrez Martín,carmen gutierrez martin,carmen gutierrez martin,False,1
370,Rafael García Muñoz,rafael garcia munoz,rafael garcia munoz,False,1
371,Sofía Gómez Pérez,sofia gomez perez,sofia gomez perez,False,1
372,Rafael Muñoz Ruiz,rafael munoz ruiz,rafael munoz ruiz,False,1
373,Pedro Díaz Gutiérrez,pedro diaz gutierrez,pedro diaz gutierrez,False,1
374,Isabel M@oreno,isabel m oreno,isabel m oreno,False,1
375,Carlos Jiménez López,carlos jimenez lopez,carlos jimenez lopez,False,1
376,Dr. José Rodríguez,jose rodriguez,jose rodriguez,False,6
377,Carlos Romero,carlos romero,carlos romero,False,6
378,Carmen Romero,carmen romero,carmen romero,False,8
379,Sofía Sánchez Hernández,sofia sanchez hernandez,sofia sanchez hernandez,False,1
380,Sr. Rafael Ruiz,rafael ruiz,rafael ruiz,True,8
381,Juan Fernández,juan fernandez,juan fernandez,False,8
382,Ana Díaz Álvarez,ana diaz alvarez,ana diaz alvarez,False,1
383,Marta García,marta garcia,marta garcia,False,2
384,Carmen Gutiérrez,carmen gutierrez,carmen gutierrez,False,6
385,Pilar Gutiérrez González,pilar gutierrez gonzalez,pilar gutierrez gonzalez,False,1
386,Sr. Carlos Romero Jiménez,carlos romero jimenez,carlos romero jimenez,False,1
387,Javier López,javier lopez,javier lopez,True,6
388,Pablo Díaz,pablo diaz,pablo diaz,False,6
389,José Moreno,jose moreno,jose moreno,False,12
390,Pilar Hernández,pilar hernandez,pilar hernandez,True,9
391,Sra. Elena Alonso Muñoz,elena alonso munoz,elena alonso munoz,False,2
392,Teresa González,teresa gonzalez,teresa gonzalez,False,8
393,Javier Fernández García,javier fernandez garcia,javier fernandez garcia,False,1
394,Francisco Gómez,francisco gomez,francisco gomez,False,5
395,Pilar Jiménez,pilar jimenez,pilar jimenez,False,7
396,Fernando Álvarez,fernando alvarez,fernando alvarez,False,5
397,Pedro Gutiérrez Martín,pedro gutierrez martin,pedro gutierrez martin,False,1
398,Carlos Martínez González,carlos martinez gonzalez,carlos martinez gonzalez,False,1
399,Sofía Martínez Pérez,sofia martinez perez,sofia martinez perez,False,1
